n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
10000,0.820455,0.49895,0.0192,0.667934,0.66795,1
10000,0.393854,0.50285,0.0195,0.665833,0.665603,0.9999
10000,0.471843,0.50175,0.0185,0.666333,0.663764,0.9998
10000,0.850894,0.49855,0.0194,0.671534,0.668265,1
10000,0.378448,0.509951,0.0192,0.661532,0.664684,1
10000,0.482413,0.49525,0.0192,0.671534,0.665448,0.9999
10000,0.601119,0.49675,0.019,0.670834,0.674162,0.9998
10000,0.288834,0.50235,0.0188,0.670734,0.656731,0.9998
10000,0.562853,0.49985,0.0195,0.661832,0.663556,0.9999
10000,0.637111,0.49985,0.0196,0.674135,0.662256,0.9999
10000,0.557888,0.50215,0.0188,0.668334,0.670964,0.9998
10000,0.355748,0.50135,0.0193,0.663233,0.663292,0.9998
10000,0.491104,0.49805,0.0202,0.667634,0.66129,0.9998
10000,0.446454,0.50015,0.0191,0.666933,0.671883,0.9997
10000,0.720444,0.50165,0.0191,0.665633,0.662404,0.9998
10000,0.511001,0.50025,0.0188,0.673235,0.669618,1
10000,0.698477,0.50005,0.0187,0.662032,0.669924,0.9999
10000,0.534636,0.50045,0.0188,0.658632,0.677315,0.9999
10000,0.298726,0.50045,0.019,0.660632,0.664297,0.9999
10000,0.564066,0.49985,0.0196,0.671334,0.668232,1
10000,0.540718,0.505151,0.0192,0.663733,0.668497,0.9998
10000,0.727263,0.49825,0.0202,0.668734,0.65941,0.9998
10000,0.403276,0.49625,0.0196,0.665333,0.665822,0.9999
10000,0.276315,0.492049,0.0194,0.667734,0.672284,0.9999
10000,0.712575,0.50015,0.0183,0.660432,0.669033,0.9999
10000,0.407293,0.49855,0.0197,0.662833,0.656668,1
10000,0.766779,0.50495,0.0192,0.667534,0.66627,1
10000,0.547891,0.50135,0.0197,0.661532,0.659711,0.9998
10000,0.280481,0.49715,0.0194,0.663233,0.663753,1
10000,0.288141,0.50375,0.0187,0.665933,0.658658,0.9998
10000,0.323797,0.49565,0.0194,0.669734,0.672101,0.9999
10000,0.763677,0.50245,0.0192,0.674735,0.668753,0.9999
10000,0.543928,0.50225,0.0186,0.661132,0.675695,1
10000,0.518732,0.50375,0.0197,0.664033,0.663169,0.9998
10000,0.779746,0.49795,0.0195,0.669234,0.671324,1
10000,0.660436,0.49565,0.0198,0.663633,0.661258,0.9999
10000,0.343932,0.49975,0.0198,0.660632,0.661267,0.9999
10000,0.478017,0.49865,0.0194,0.660532,0.669523,0.9998
10000,0.345982,0.50135,0.0194,0.664033,0.667036,0.9999
10000,0.312165,0.49625,0.0197,0.668034,0.666372,0.9998
10000,0.646701,0.50205,0.0192,0.662733,0.663974,0.9998
10000,0.755066,0.50105,0.0192,0.671234,0.668853,0.9995
